changepoint_prior_scale,seasonality_mode,seasonality_prior_scale,holidays_prior_scale,changepoint_range,weekly_mape,status,notes
0.5,additive,1,10,0.8,3.84269418676157,ok,
0.5,additive,5,10,0.8,3.844724682154991,ok,
0.5,additive,10,5,0.8,3.8541452318111182,ok,
0.5,additive,5,5,0.8,3.855518431671189,ok,
0.5,additive,5,1,0.8,3.8614224118423097,ok,
0.5,additive,1,5,0.8,3.86269258937852,ok,
0.5,additive,10,1,0.8,3.8747171750422247,ok,
0.5,additive,10,10,0.8,3.8841682896251744,ok,
0.5,additive,1,1,0.8,3.9027850211651742,ok,
0.1,multiplicative,10,10,0.9,4.127519716966296,ok,
