changepoint_prior_scale,seasonality_mode,seasonality_prior_scale,holidays_prior_scale,changepoint_range,weekly_mape,status,notes
0.01,multiplicative,1,1,0.8,14.14867299849823,ok,
0.01,multiplicative,1,1,0.9,14.164131675006185,ok,
0.01,multiplicative,1,1,0.95,14.258815525579289,ok,
0.01,multiplicative,1,1,1.0,14.290849038681433,ok,
0.01,multiplicative,1,5,0.8,14.115841516823217,ok,
0.01,multiplicative,1,5,0.9,14.152475742676673,ok,
0.01,multiplicative,1,5,0.95,14.344696322582994,ok,
0.01,multiplicative,1,5,1.0,14.193930066289548,ok,
0.01,multiplicative,1,10,0.8,14.162390954476448,ok,
0.01,multiplicative,1,10,0.9,14.1256705962298,ok,
0.01,multiplicative,1,10,0.95,14.176256274716609,ok,
0.01,multiplicative,1,10,1.0,14.268631511227417,ok,
0.01,multiplicative,5,1,0.8,14.14458049619573,ok,
0.01,multiplicative,5,1,0.9,14.185399876244103,ok,
0.01,multiplicative,5,1,0.95,14.21899381900673,ok,
0.01,multiplicative,5,1,1.0,14.220941842899881,ok,
0.01,multiplicative,5,5,0.8,14.155717595484663,ok,
0.01,multiplicative,5,5,0.9,14.17376878913234,ok,
0.01,multiplicative,5,5,0.95,14.236476135207035,ok,
0.01,multiplicative,5,5,1.0,14.248898605200736,ok,
0.01,multiplicative,5,10,0.8,14.120124175731489,ok,
0.01,multiplicative,5,10,0.9,14.257987258669038,ok,
0.01,multiplicative,5,10,0.95,14.239578159972616,ok,
0.01,multiplicative,5,10,1.0,14.231296622314268,ok,
0.01,multiplicative,10,1,0.8,14.145359065296825,ok,
0.01,multiplicative,10,1,0.9,14.223048795999013,ok,
0.01,multiplicative,10,1,0.95,14.25746797808893,ok,
0.01,multiplicative,10,1,1.0,14.29058879245903,ok,
0.01,multiplicative,10,5,0.8,14.059913819748962,ok,
0.01,multiplicative,10,5,0.9,14.164949890366895,ok,
0.01,multiplicative,10,5,0.95,14.255315150897015,ok,
0.01,multiplicative,10,5,1.0,14.280699369581265,ok,
0.01,multiplicative,10,10,0.8,14.115652905677617,ok,
0.01,multiplicative,10,10,0.9,14.219596013063516,ok,
0.01,multiplicative,10,10,0.95,14.244107995767308,ok,
0.01,multiplicative,10,10,1.0,14.323584917224116,ok,
0.01,additive,1,1,0.8,15.985949906861629,ok,
0.01,additive,1,1,0.9,16.145006930065982,ok,
0.01,additive,1,1,0.95,16.153055119112967,ok,
0.01,additive,1,1,1.0,16.215465881813664,ok,
0.01,additive,1,5,0.8,15.996431131299774,ok,
0.01,additive,1,5,0.9,16.110841601306873,ok,
0.01,additive,1,5,0.95,16.129675735140726,ok,
0.01,additive,1,5,1.0,16.140287765251944,ok,
0.01,additive,1,10,0.8,16.013008696035616,ok,
0.01,additive,1,10,0.9,16.061361631328765,ok,
0.01,additive,1,10,0.95,16.187758806121447,ok,
0.01,additive,1,10,1.0,16.159894122906966,ok,
0.01,additive,5,1,0.8,15.951341292655641,ok,
0.01,additive,5,1,0.9,16.129929923230648,ok,
0.01,additive,5,1,0.95,16.04861015972253,ok,
0.01,additive,5,1,1.0,16.183090285675902,ok,
0.01,additive,5,5,0.8,15.967955811764426,ok,
0.01,additive,5,5,0.9,16.080143773240163,ok,
0.01,additive,5,5,0.95,16.08643703208931,ok,
0.01,additive,5,5,1.0,16.186541536844224,ok,
0.01,additive,5,10,0.8,15.960727496999173,ok,
0.01,additive,5,10,0.9,16.073480557732374,ok,
0.01,additive,5,10,0.95,16.107788642258022,ok,
0.01,additive,5,10,1.0,16.15005544375872,ok,
0.01,additive,10,1,0.8,15.932453928823278,ok,
0.01,additive,10,1,0.9,16.149638934811048,ok,
0.01,additive,10,1,0.95,16.118776616977915,ok,
0.01,additive,10,1,1.0,16.18322795622891,ok,
0.01,additive,10,5,0.8,15.973764732149597,ok,
0.01,additive,10,5,0.9,16.108402175725935,ok,
0.01,additive,10,5,0.95,16.16339752977998,ok,
0.01,additive,10,5,1.0,16.21378173294875,ok,
0.01,additive,10,10,0.8,15.95914826261787,ok,
0.01,additive,10,10,0.9,16.10711054110691,ok,
0.01,additive,10,10,0.95,16.09618835896528,ok,
0.01,additive,10,10,1.0,16.18970335839773,ok,
0.05,multiplicative,1,1,0.8,5.998358696109403,ok,
0.05,multiplicative,1,1,0.9,5.391451082988052,ok,
0.05,multiplicative,1,1,0.95,5.4549038587135,ok,
0.05,multiplicative,1,1,1.0,5.4647620421042,ok,
0.05,multiplicative,1,5,0.8,5.990353708318287,ok,
0.05,multiplicative,1,5,0.9,5.411518133293488,ok,
0.05,multiplicative,1,5,0.95,5.4680681540033,ok,
0.05,multiplicative,1,5,1.0,5.407022200128672,ok,
0.05,multiplicative,1,10,0.8,5.933624115347837,ok,
0.05,multiplicative,1,10,0.9,5.384166971657529,ok,
0.05,multiplicative,1,10,0.95,5.44350981789398,ok,
0.05,multiplicative,1,10,1.0,5.417568066284419,ok,
0.05,multiplicative,5,1,0.8,5.943791016690947,ok,
0.05,multiplicative,5,1,0.9,5.40646143105741,ok,
0.05,multiplicative,5,1,0.95,5.4636150745271905,ok,
0.05,multiplicative,5,1,1.0,5.4307550208320645,ok,
0.05,multiplicative,5,5,0.8,5.989655441384048,ok,
0.05,multiplicative,5,5,0.9,5.419132225030789,ok,
0.05,multiplicative,5,5,0.95,5.433973349956164,ok,
0.05,multiplicative,5,5,1.0,5.405106893068673,ok,
0.05,multiplicative,5,10,0.8,5.976307985800437,ok,
0.05,multiplicative,5,10,0.9,5.4129328022999,ok,
0.05,multiplicative,5,10,0.95,5.49406934994902,ok,
0.05,multiplicative,5,10,1.0,5.418233225406186,ok,
0.05,multiplicative,10,1,0.8,5.9073136016584336,ok,
0.05,multiplicative,10,1,0.9,5.406253681944999,ok,
0.05,multiplicative,10,1,0.95,5.429889135107393,ok,
0.05,multiplicative,10,1,1.0,5.440255047403722,ok,
0.05,multiplicative,10,5,0.8,6.015202573173576,ok,
0.05,multiplicative,10,5,0.9,5.365593072199286,ok,
0.05,multiplicative,10,5,0.95,5.413636533527415,ok,
0.05,multiplicative,10,5,1.0,5.391217367684728,ok,
0.05,multiplicative,10,10,0.8,5.971535900836529,ok,
0.05,multiplicative,10,10,0.9,5.414755900545094,ok,
0.05,multiplicative,10,10,0.95,5.461197728800015,ok,
0.05,multiplicative,10,10,1.0,5.394571934647237,ok,
0.05,additive,1,1,0.8,6.5072768522486415,ok,
0.05,additive,1,1,0.9,6.309262933019108,ok,
0.05,additive,1,1,0.95,6.426519497092745,ok,
0.05,additive,1,1,1.0,6.380785395355207,ok,
0.05,additive,1,5,0.8,6.453263391715767,ok,
0.05,additive,1,5,0.9,6.330698079159815,ok,
0.05,additive,1,5,0.95,6.403963653846495,ok,
0.05,additive,1,5,1.0,6.25622872476075,ok,
0.05,additive,1,10,0.8,6.572363233840529,ok,
0.05,additive,1,10,0.9,6.27225716638717,ok,
0.05,additive,1,10,0.95,6.444209134648682,ok,
0.05,additive,1,10,1.0,6.296949938238081,ok,
0.05,additive,5,1,0.8,6.47914752944541,ok,
0.05,additive,5,1,0.9,6.333312076116609,ok,
0.05,additive,5,1,0.95,6.327603941439162,ok,
0.05,additive,5,1,1.0,6.307775452771169,ok,
0.05,additive,5,5,0.8,6.447672804144489,ok,
0.05,additive,5,5,0.9,6.316282730045238,ok,
0.05,additive,5,5,0.95,6.397942004811874,ok,
0.05,additive,5,5,1.0,6.301028567743729,ok,
0.05,additive,5,10,0.8,6.485329466866747,ok,
0.05,additive,5,10,0.9,6.339693103192477,ok,
0.05,additive,5,10,0.95,6.454621651071041,ok,
0.05,additive,5,10,1.0,6.330522599349731,ok,
0.05,additive,10,1,0.8,6.449080328741099,ok,
0.05,additive,10,1,0.9,6.306558447202412,ok,
0.05,additive,10,1,0.95,6.3828661606392405,ok,
0.05,additive,10,1,1.0,6.335327795199608,ok,
0.05,additive,10,5,0.8,6.437734937997057,ok,
0.05,additive,10,5,0.9,6.3813187856081335,ok,
0.05,additive,10,5,0.95,6.4175371129828545,ok,
0.05,additive,10,5,1.0,6.278562574738365,ok,
0.05,additive,10,10,0.8,6.5240795298419325,ok,
0.05,additive,10,10,0.9,6.298164517398858,ok,
0.05,additive,10,10,0.95,6.3746114070156175,ok,
0.05,additive,10,10,1.0,6.293229753970022,ok,
0.1,multiplicative,1,1,0.8,4.8207665025870785,ok,
0.1,multiplicative,1,1,0.9,4.191543977449224,ok,
0.1,multiplicative,1,1,0.95,4.258499132168278,ok,
0.1,multiplicative,1,1,1.0,4.225007288884657,ok,
0.1,multiplicative,1,5,0.8,4.823098344718641,ok,
0.1,multiplicative,1,5,0.9,4.138931560731553,ok,
0.1,multiplicative,1,5,0.95,4.252828807813892,ok,
0.1,multiplicative,1,5,1.0,4.2575040631291,ok,
0.1,multiplicative,1,10,0.8,4.829804306846252,ok,
0.1,multiplicative,1,10,0.9,4.180008195855836,ok,
0.1,multiplicative,1,10,0.95,4.223655052913566,ok,
0.1,multiplicative,1,10,1.0,4.226031635895514,ok,
0.1,multiplicative,5,1,0.8,4.849545303204794,ok,
0.1,multiplicative,5,1,0.9,4.142970989849763,ok,
0.1,multiplicative,5,1,0.95,4.228200402874093,ok,
0.1,multiplicative,5,1,1.0,4.195849349749324,ok,
0.1,multiplicative,5,5,0.8,4.843204090343081,ok,
0.1,multiplicative,5,5,0.9,4.160555718889166,ok,
0.1,multiplicative,5,5,0.95,4.255622637622535,ok,
0.1,multiplicative,5,5,1.0,4.208684890518925,ok,
0.1,multiplicative,5,10,0.8,4.802144772796766,ok,
0.1,multiplicative,5,10,0.9,4.140227321352427,ok,
0.1,multiplicative,5,10,0.95,4.237525324932316,ok,
0.1,multiplicative,5,10,1.0,4.2214467529315645,ok,
0.1,multiplicative,10,1,0.8,4.8227144980550625,ok,
0.1,multiplicative,10,1,0.9,4.150665601298627,ok,
0.1,multiplicative,10,1,0.95,4.2573440674793055,ok,
0.1,multiplicative,10,1,1.0,4.188803580181804,ok,
0.1,multiplicative,10,5,0.8,4.827731786458466,ok,
0.1,multiplicative,10,5,0.9,4.1704751257874655,ok,
0.1,multiplicative,10,5,0.95,4.243639122959088,ok,
0.1,multiplicative,10,5,1.0,4.225494919540964,ok,
0.1,multiplicative,10,10,0.8,4.82907921660812,ok,
0.1,multiplicative,10,10,0.9,4.127519716966296,ok,
0.1,multiplicative,10,10,0.95,4.254647115572704,ok,
0.1,multiplicative,10,10,1.0,4.187259513203727,ok,
0.1,additive,1,1,0.8,4.579880414481276,ok,
0.1,additive,1,1,0.9,4.695353900374025,ok,
0.1,additive,1,1,0.95,5.017300554684909,ok,
0.1,additive,1,1,1.0,4.805767749614229,ok,
0.1,additive,1,5,0.8,4.564773155432668,ok,
0.1,additive,1,5,0.9,4.6177036490211085,ok,
0.1,additive,1,5,0.95,5.020375096255444,ok,
0.1,additive,1,5,1.0,4.741387224240875,ok,
0.1,additive,1,10,0.8,4.612723056404265,ok,
0.1,additive,1,10,0.9,4.605694420579547,ok,
0.1,additive,1,10,0.95,5.029151550142709,ok,
0.1,additive,1,10,1.0,4.858559190209308,ok,
0.1,additive,5,1,0.8,4.63267507767544,ok,
0.1,additive,5,1,0.9,4.597872200688465,ok,
0.1,additive,5,1,0.95,5.034311221307659,ok,
0.1,additive,5,1,1.0,4.841550367774749,ok,
0.1,additive,5,5,0.8,4.593927776770846,ok,
0.1,additive,5,5,0.9,4.671859316047952,ok,
0.1,additive,5,5,0.95,4.9961875734443035,ok,
0.1,additive,5,5,1.0,4.717497093641714,ok,
0.1,additive,5,10,0.8,4.650843689067494,ok,
0.1,additive,5,10,0.9,4.640473367876609,ok,
0.1,additive,5,10,0.95,4.980641986960947,ok,
0.1,additive,5,10,1.0,4.766956728526969,ok,
0.1,additive,10,1,0.8,4.57599642379443,ok,
0.1,additive,10,1,0.9,4.6251194988081155,ok,
0.1,additive,10,1,0.95,5.014066513721865,ok,
0.1,additive,10,1,1.0,4.798954283845768,ok,
0.1,additive,10,5,0.8,4.586613097574023,ok,
0.1,additive,10,5,0.9,4.631582109237818,ok,
0.1,additive,10,5,0.95,5.019698803522902,ok,
0.1,additive,10,5,1.0,4.7598876234478835,ok,
0.1,additive,10,10,0.8,4.607364001534001,ok,
0.1,additive,10,10,0.9,4.662520634230512,ok,
0.1,additive,10,10,0.95,5.044064909327867,ok,
0.1,additive,10,10,1.0,4.83645034927263,ok,
0.5,multiplicative,1,1,0.8,4.1742630945094295,ok,
0.5,multiplicative,1,1,0.9,4.399799411761522,ok,
0.5,multiplicative,1,1,0.95,4.375827995273192,ok,
0.5,multiplicative,1,1,1.0,4.393743284014493,ok,
0.5,multiplicative,1,5,0.8,4.193840293864812,ok,
0.5,multiplicative,1,5,0.9,4.408973367670812,ok,
0.5,multiplicative,1,5,0.95,4.369192379327133,ok,
0.5,multiplicative,1,5,1.0,4.398904724553717,ok,
0.5,multiplicative,1,10,0.8,4.170579221581258,ok,
0.5,multiplicative,1,10,0.9,4.3911294052585506,ok,
0.5,multiplicative,1,10,0.95,4.343805660984336,ok,
0.5,multiplicative,1,10,1.0,4.3761668671615555,ok,
0.5,multiplicative,5,1,0.8,4.19405931191042,ok,
0.5,multiplicative,5,1,0.9,4.406531127261443,ok,
0.5,multiplicative,5,1,0.95,4.383938925410231,ok,
0.5,multiplicative,5,1,1.0,4.41126630800666,ok,
0.5,multiplicative,5,5,0.8,4.199882415661907,ok,
0.5,multiplicative,5,5,0.9,4.394302623535928,ok,
0.5,multiplicative,5,5,0.95,4.367739476432271,ok,
0.5,multiplicative,5,5,1.0,4.405260174492763,ok,
0.5,multiplicative,5,10,0.8,4.183505011837576,ok,
0.5,multiplicative,5,10,0.9,4.384793185005888,ok,
0.5,multiplicative,5,10,0.95,4.377574394911375,ok,
0.5,multiplicative,5,10,1.0,4.417985833486232,ok,
0.5,multiplicative,10,1,0.8,4.172624719285602,ok,
0.5,multiplicative,10,1,0.9,4.382955300594897,ok,
0.5,multiplicative,10,1,0.95,4.366235123398316,ok,
0.5,multiplicative,10,1,1.0,4.405779752457701,ok,
0.5,multiplicative,10,5,0.8,4.190331779060298,ok,
0.5,multiplicative,10,5,0.9,4.417381598010124,ok,
0.5,multiplicative,10,5,0.95,4.361013036846037,ok,
0.5,multiplicative,10,5,1.0,4.4188533231541225,ok,
0.5,multiplicative,10,10,0.8,4.211497306423135,ok,
0.5,multiplicative,10,10,0.9,4.3850220400480175,ok,
0.5,multiplicative,10,10,0.95,4.375868668929172,ok,
0.5,multiplicative,10,10,1.0,4.4053154076695975,ok,
0.5,additive,1,1,0.8,3.9027850211651742,ok,
0.5,additive,1,1,0.9,4.261625287890824,ok,
0.5,additive,1,1,0.95,4.507194648315385,ok,
0.5,additive,1,1,1.0,4.464052897957234,ok,
0.5,additive,1,5,0.8,3.86269258937852,ok,
0.5,additive,1,5,0.9,4.269509319071185,ok,
0.5,additive,1,5,0.95,4.5080655539741255,ok,
0.5,additive,1,5,1.0,4.428846903939189,ok,
0.5,additive,1,10,0.8,3.84269418676157,ok,
0.5,additive,1,10,0.9,4.263618795091695,ok,
0.5,additive,1,10,0.95,4.495339745060415,ok,
0.5,additive,1,10,1.0,4.4273026769514345,ok,
0.5,additive,5,1,0.8,3.8614224118423093,ok,
0.5,additive,5,1,0.9,4.256185259245799,ok,
0.5,additive,5,1,0.95,4.4945604269311845,ok,
0.5,additive,5,1,1.0,4.465080003992074,ok,
0.5,additive,5,5,0.8,3.855518431671189,ok,
0.5,additive,5,5,0.9,4.258166302973362,ok,
0.5,additive,5,5,0.95,4.520481845931617,ok,
0.5,additive,5,5,1.0,4.454249940784242,ok,
0.5,additive,5,10,0.8,3.844724682154991,ok,
0.5,additive,5,10,0.9,4.274548824851091,ok,
0.5,additive,5,10,0.95,4.524673404687169,ok,
0.5,additive,5,10,1.0,4.485512384329732,ok,
0.5,additive,10,1,0.8,3.8747171750422247,ok,
0.5,additive,10,1,0.9,4.243882668532854,ok,
0.5,additive,10,1,0.95,4.488305918288693,ok,
0.5,additive,10,1,1.0,4.432237877948098,ok,
0.5,additive,10,5,0.8,3.8541452318111187,ok,
0.5,additive,10,5,0.9,4.273536831149669,ok,
0.5,additive,10,5,0.95,4.495878828693152,ok,
0.5,additive,10,5,1.0,4.43454494452934,ok,
0.5,additive,10,10,0.8,3.8841682896251744,ok,
0.5,additive,10,10,0.9,4.260019884013019,ok,
0.5,additive,10,10,0.95,4.503071980682104,ok,
0.5,additive,10,10,1.0,4.436275005949835,ok,
